review_id,product_id,product_name,category,user_id,rating,review,label,date
R0001,P002,Stainless Steel Water Bottle,Home & Kitchen,U5506,4,This product has fast delivery!!,positive,13-10-2023
R0002,P002,Stainless Steel Water Bottle,Home & Kitchen,U7912,4,This product has great quality!,positive,11-07-2023
R0003,P004,Smart LED TV 43 inch,Electronics,U9279,4,This product has sound is clear!,positive,12-02-2024
R0004,P007,Gaming Mouse RGB,Electronics,U8359,4,This product has sound is clear.,positive,14-01-2023
R0005,P003,Men's Running Shoes,Clothing,U6574,5,This product has easy to use!!,positive,16-03-2024
R0006,P006,Women's Handbag,Accessories,U2519,4,This product has works perfectly!,positive,05-01-2025
R0007,P006,Women's Handbag,Accessories,U1711,5,This product has highly recommended :),positive,13-09-2023
R0008,P007,Gaming Mouse RGB,Electronics,U5803,4,This product has very useful.,positive,29-01-2024
R0009,P002,Stainless Steel Water Bottle,Home & Kitchen,U4733,4,This product has easy to use!,positive,21-04-2024
R0010,P002,Stainless Steel Water Bottle,Home & Kitchen,U5554,5,This product has comfortable to use.,positive,30-11-2023
R0011,P006,Women's Handbag,Accessories,U4432,5,This product has very useful.,positive,27-05-2023
R0012,P003,Men's Running Shoes,Clothing,U3677,4,This product has comfortable to use :),positive,06-07-2024
R0013,P004,Smart LED TV 43 inch,Electronics,U1916,5,This product has fast delivery!,positive,08-10-2024
R0014,P007,Gaming Mouse RGB,Electronics,U2084,5,This product has fast delivery.,positive,11-03-2024
R0015,P008,Mixer Grinder 750W,Home & Kitchen,U8517,5,This product has value for money.,positive,13-10-2023
R0016,P004,Smart LED TV 43 inch,Electronics,U8019,5,This product has sound is clear :),positive,11-01-2025
R0017,P004,Smart LED TV 43 inch,Electronics,U9348,4,This product has comfortable to use!,positive,07-04-2023
R0018,P002,Stainless Steel Water Bottle,Home & Kitchen,U3621,4,This product has very useful :),positive,11-05-2023
R0019,P007,Gaming Mouse RGB,Electronics,U8668,5,This product has battery lasts long.,positive,24-01-2023
R0020,P002,Stainless Steel Water Bottle,Home & Kitchen,U6573,5,This product has excellent build.,positive,09-06-2025
R0021,P003,Men's Running Shoes,Clothing,U1053,5,This product has highly recommended.,positive,22-10-2025
R0022,P003,Men's Running Shoes,Clothing,U5889,4,This product has very useful!!,positive,10-11-2023
R0023,P006,Women's Handbag,Accessories,U9837,4,This product has battery lasts long!,positive,25-10-2024
R0024,P008,Mixer Grinder 750W,Home & Kitchen,U2832,4,This product has looks premium.,positive,05-05-2024
R0025,P001,Wireless Bluetooth Earbuds,Electronics,U2290,4,This product has excellent build :),positive,22-05-2023
R0026,P003,Men's Running Shoes,Clothing,U8787,4,This product has battery lasts long!!,positive,26-06-2024
R0027,P007,Gaming Mouse RGB,Electronics,U9835,4,This product has highly recommended!!,positive,30-09-2024
R0028,P007,Gaming Mouse RGB,Electronics,U8177,5,This product has battery lasts long :),positive,05-09-2023
R0029,P004,Smart LED TV 43 inch,Electronics,U2049,4,This product has looks premium!,positive,16-04-2024
R0030,P004,Smart LED TV 43 inch,Electronics,U2163,4,This product has highly recommended!,positive,13-04-2024
R0031,P002,Stainless Steel Water Bottle,Home & Kitchen,U6413,4,This product has excellent build!!,positive,24-07-2024
R0032,P008,Mixer Grinder 750W,Home & Kitchen,U9834,4,This product has value for money :),positive,12-05-2024
