review,sentiment
"Absolutely loved this product, works perfectly!",1
"Very खराब experience, not recommended.",0
"Great quality and fast delivery.",1
"Product stopped working after 2 days.",0
"Excellent service and support.",1
"Waste of money, totally useless.",0
"Highly satisfied with the purchase.",1
"Very poor build quality.",0
"Amazing experience, will buy again!",1
"Not worth the price.",0
"Super smooth and easy to use.",1
"App crashes frequently.",0
"Fantastic product, exceeded expectations.",1
"Terrible customer service.",0
"Very reliable and efficient.",1
"Battery drains too fast.",0
"User-friendly interface, loved it.",1
"Packaging was damaged.",0
"Works exactly as described.",1
"Completely disappointed.",0
"Best purchase I’ve made.",1
"Does not match description.",0
"Really impressed with performance.",1
"Lags a lot during use.",0
"Value for money.",1
"Cheap quality material.",0
"Five stars, highly recommend!",1
"Stopped working within a week.",0
"Very happy with this product.",1
"Bad experience overall.",0
"Quick installation and setup.",1
"Not durable at all.",0
"Beautiful design and smooth performance.",1
"Heats up quickly.",0
"Great features and easy to use.",1
"Very slow response time.",0
"Absolutely fantastic!",1
"Totally not worth it.",0
"Reliable and efficient product.",1
"Disappointed with quality.",0
"Works flawlessly.",1
"Too many bugs.",0
"Highly recommended for everyone.",1
"Customer support is useless.",0
"Exceeded my expectations.",1
"Very frustrating to use.",0
"Perfect for daily use.",1
"Not user-friendly.",0
"Excellent build quality.",1
"Screen freezes often.",0
"Very good performance.",1
"Poor packaging.",0
"Great value for money.",1
"Product arrived late.",0
"Very satisfied overall.",1
"Doesn’t work properly.",0
"Top-notch quality!",1
"Not as advertised.",0
"Fast and reliable.",1
"Worst product ever.",0
"Easy to install.",1
"Stopped working suddenly.",0
"Looks great and performs well.",1
"Very low quality.",0
"Highly durable product.",1
"Completely useless.",0
"Love the design!",1
"Bad build quality.",0
"Works perfectly fine.",1
"Too expensive for what it offers.",0
"Nice and smooth experience.",1
"Frequent crashes.",0
"Great support team.",1
"No response from support.",0
"Very convenient to use.",1
"Not worth buying.",0
"Highly efficient.",1
"Very disappointing.",0
"Absolutely worth it.",1
"Terrible experience.",0
"Superb quality!",1
"Very poor performance.",0
"Nice product overall.",1
"Broken on arrival.",0
"Easy and simple to use.",1
"Lots of bugs.",0
"Perfectly designed.",1
"Not durable.",0
"Very impressive!",1
"Worst experience.",0
